Step ID,Phase,Feature / Area,Step (Granular),Detailed Step Description,Difficulty (1-5),Difficulty Label,Impact (1-5),Impact Label,Status,Dependencies,Notes / Context
MVPp-QB-07,MVP+,QuickBooks/Xero/FreshBooks integration,Reporting & logs,"Visibility into last sync time, record counts, and errors.",4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-06",Core selling point for adoption
MVPp-QB-08,MVP+,QuickBooks/Xero/FreshBooks integration,Security & compliance,Scope tokens to least privilege; audit access.,5,Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-07",Core selling point for adoption
MVPp-QB-09,MVP+,QuickBooks/Xero/FreshBooks integration,Define goals & success metrics for QuickBooks/Xero/FreshBooks integration,"Clarify outcomes, acceptance criteria, KPIs, and constraints for QuickBooks/Xero/FreshBooks integration. Produce a one-page spec and checklist.",4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-08",Core selling point for adoption
MVPp-QB-10,MVP+,QuickBooks/Xero/FreshBooks integration,Design data model/schema for QuickBooks/Xero/FreshBooks integration,Identify entities and relationships required for QuickBooks/Xero/FreshBooks integration. Create tables/collections and ERD with indexes and audit fields.,4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-09",Core selling point for adoption
MVPp-QB-11,MVP+,QuickBooks/Xero/FreshBooks integration,Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to QuickBooks/Xero/FreshBooks integration. Store API keys and secrets in secure vault.,4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-10",Core selling point for adoption
MVPp-QB-12,MVP+,QuickBooks/Xero/FreshBooks integration,Build core API endpoints for QuickBooks/Xero/FreshBooks integration,"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-11",Core selling point for adoption
MVPp-QB-13,MVP+,QuickBooks/Xero/FreshBooks integration,Implement RBAC/permissions for QuickBooks/Xero/FreshBooks integration,Define roles and scopes; enforce access control at API and UI layers for QuickBooks/Xero/FreshBooks integration.,5,Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-12",Core selling point for adoption
MVPp-QB-14,MVP+,QuickBooks/Xero/FreshBooks integration,Create primary UI workflows for QuickBooks/Xero/FreshBooks integration,Design and build pages/forms to complete the core flows for QuickBooks/Xero/FreshBooks integration. Add real-time validation and empty states.,4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-13",Core selling point for adoption
MVPp-QB-15,MVP+,QuickBooks/Xero/FreshBooks integration,Add webhooks/event handling for QuickBooks/Xero/FreshBooks integration,"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,"MVP-CR-01, MVPp-QB-14",Core selling point for adoption
MVPp-2FA-01,MVP+,Two-factor authentication (2FA),TOTP setup,Implement RFC 6238 TOTP with QR enrollment and device naming.,1,Easy,3,High,Not Started,,Non-negotiable for trust
MVPp-2FA-02,MVP+,Two-factor authentication (2FA),Backup codes,Generate one-time backup codes and secure download/display.,4,Medium-Hard,4,Very High,Not Started,MVPp-2FA-01,Non-negotiable for trust
MVPp-2FA-03,MVP+,Two-factor authentication (2FA),SMS fallback,Twilio-based SMS fallback with rate limit and country support.,3,Medium,4,Very High,Not Started,MVPp-2FA-02,Non-negotiable for trust
MVPp-2FA-04,MVP+,Two-factor authentication (2FA),Enforcement policy,Admin setting to require 2FA for staff/clients.,5,Hard,5,Critical,Not Started,MVPp-2FA-03,Non-negotiable for trust
MVPp-2FA-05,MVP+,Two-factor authentication (2FA),Recovery flows,Account recovery checks and support tooling.,3,Medium,4,Very High,Not Started,MVPp-2FA-04,Non-negotiable for trust
MVPp-2FA-06,MVP+,Two-factor authentication (2FA),Security review,"Brute-force protection, lockouts, alerting, and audit logs.",5,Hard,5,Critical,Not Started,MVPp-2FA-05,Non-negotiable for trust
MVPp-2FA-07,MVP+,Two-factor authentication (2FA),Define goals & success metrics for Two-factor authentication (2FA),"Clarify outcomes, acceptance criteria, KPIs, and constraints for Two-factor authentication (2FA). Produce a one-page spec and checklist.",5,Hard,5,Critical,Not Started,MVPp-2FA-06,Non-negotiable for trust
MVPp-2FA-08,MVP+,Two-factor authentication (2FA),Design data model/schema for Two-factor authentication (2FA),Identify entities and relationships required for Two-factor authentication (2FA). Create tables/collections and ERD with indexes and audit fields.,5,Hard,5,Critical,Not Started,MVPp-2FA-07,Non-negotiable for trust
MVPp-2FA-09,MVP+,Two-factor authentication (2FA),Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to Two-factor authentication (2FA). Store API keys and secrets in secure vault.,5,Hard,5,Critical,Not Started,MVPp-2FA-08,Non-negotiable for trust
MVPp-2FA-10,MVP+,Two-factor authentication (2FA),Build core API endpoints for Two-factor authentication (2FA),"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",5,Hard,5,Critical,Not Started,MVPp-2FA-09,Non-negotiable for trust
MVPp-2FA-11,MVP+,Two-factor authentication (2FA),Implement RBAC/permissions for Two-factor authentication (2FA),Define roles and scopes; enforce access control at API and UI layers for Two-factor authentication (2FA).,5,Hard,5,Critical,Not Started,MVPp-2FA-10,Non-negotiable for trust
MVPp-2FA-12,MVP+,Two-factor authentication (2FA),Create primary UI workflows for Two-factor authentication (2FA),Design and build pages/forms to complete the core flows for Two-factor authentication (2FA). Add real-time validation and empty states.,5,Hard,5,Critical,Not Started,MVPp-2FA-11,Non-negotiable for trust
MVPp-2FA-13,MVP+,Two-factor authentication (2FA),Add webhooks/event handling for Two-factor authentication (2FA),"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",5,Hard,5,Critical,Not Started,MVPp-2FA-12,Non-negotiable for trust
MVPp-2FA-14,MVP+,Two-factor authentication (2FA),Input validation & error UX for Two-factor authentication (2FA),Centralize server- and client-side validation. Provide helpful error messages and logging for Two-factor authentication (2FA).,5,Hard,5,Critical,Not Started,MVPp-2FA-13,Non-negotiable for trust
MVPp-2FA-15,MVP+,Two-factor authentication (2FA),Observability for Two-factor authentication (2FA),"Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Two-factor authentication (2FA).",5,Hard,5,Critical,Not Started,MVPp-2FA-14,Non-negotiable for trust
Phase 2-DASH-01,Phase 2,Staff task dashboard & workload tracking,Define goals & success metrics for Staff task dashboard & workload tracking,"Clarify outcomes, acceptance criteria, KPIs, and constraints for Staff task dashboard & workload tracking. Produce a one-page spec and checklist.",4,Medium-Hard,4,Very High,Not Started,,Reduces burnout & errors
Phase 2-DASH-02,Phase 2,Staff task dashboard & workload tracking,Design data model/schema for Staff task dashboard & workload tracking,Identify entities and relationships required for Staff task dashboard & workload tracking. Create tables/collections and ERD with indexes and audit fields.,3,Medium,4,Very High,Not Started,Phase 2-DASH-01,Reduces burnout & errors
Phase 2-DASH-03,Phase 2,Staff task dashboard & workload tracking,Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to Staff task dashboard & workload tracking. Store API keys and secrets in secure vault.,4,Medium-Hard,5,Critical,Not Started,Phase 2-DASH-02,Reduces burnout & errors
Phase 2-DASH-04,Phase 2,Staff task dashboard & workload tracking,Build core API endpoints for Staff task dashboard & workload tracking,"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,Phase 2-DASH-03,Reduces burnout & errors
Phase 2-DASH-05,Phase 2,Staff task dashboard & workload tracking,Implement RBAC/permissions for Staff task dashboard & workload tracking,Define roles and scopes; enforce access control at API and UI layers for Staff task dashboard & workload tracking.,5,Hard,5,Critical,Not Started,Phase 2-DASH-04,Reduces burnout & errors
Phase 2-DASH-06,Phase 2,Staff task dashboard & workload tracking,Create primary UI workflows for Staff task dashboard & workload tracking,Design and build pages/forms to complete the core flows for Staff task dashboard & workload tracking. Add real-time validation and empty states.,4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-05,Reduces burnout & errors
Phase 2-DASH-07,Phase 2,Staff task dashboard & workload tracking,Add webhooks/event handling for Staff task dashboard & workload tracking,"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,Phase 2-DASH-06,Reduces burnout & errors
Phase 2-DASH-08,Phase 2,Staff task dashboard & workload tracking,Input validation & error UX for Staff task dashboard & workload tracking,Centralize server- and client-side validation. Provide helpful error messages and logging for Staff task dashboard & workload tracking.,4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-07,Reduces burnout & errors
Phase 2-DASH-09,Phase 2,Staff task dashboard & workload tracking,Observability for Staff task dashboard & workload tracking,"Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Staff task dashboard & workload tracking.",4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-08,Reduces burnout & errors
Phase 2-DASH-10,Phase 2,Staff task dashboard & workload tracking,Unit & integration tests for Staff task dashboard & workload tracking,Write tests covering happy paths and edge cases for Staff task dashboard & workload tracking. Target 80% coverage where practical.,4,Medium-Hard,5,Critical,Not Started,Phase 2-DASH-09,Reduces burnout & errors
Phase 2-DASH-11,Phase 2,Staff task dashboard & workload tracking,Security review for Staff task dashboard & workload tracking,"Threat model Staff task dashboard & workload tracking, encrypt data at rest/in transit, verify least-privilege, secrets rotation, and audit trails.",5,Hard,5,Critical,Not Started,Phase 2-DASH-10,Reduces burnout & errors
Phase 2-DASH-12,Phase 2,Staff task dashboard & workload tracking,Performance & load testing for Staff task dashboard & workload tracking,"Benchmark key paths for Staff task dashboard & workload tracking; tune queries, caching, and backpressure. Document SLOs.",4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-11,Reduces burnout & errors
Phase 2-DASH-13,Phase 2,Staff task dashboard & workload tracking,Backups & disaster recovery for Staff task dashboard & workload tracking,Define RPO/RTO; test backup and restore for data involved in Staff task dashboard & workload tracking.,4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-12,Reduces burnout & errors
Phase 2-DASH-14,Phase 2,Staff task dashboard & workload tracking,Admin controls & settings for Staff task dashboard & workload tracking,Add admin toggles and configuration for Staff task dashboard & workload tracking. Include feature flags and rollout controls.,4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-13,Reduces burnout & errors
Phase 2-DASH-15,Phase 2,Staff task dashboard & workload tracking,Documentation & SOPs for Staff task dashboard & workload tracking,Write internal docs and step-by-step SOPs so team can operate Staff task dashboard & workload tracking confidently.,4,Medium-Hard,4,Very High,Not Started,Phase 2-DASH-14,Reduces burnout & errors
Phase 2-TIME-01,Phase 2,Time tracking & billable hours integration,Define goals & success metrics for Time tracking & billable hours integration,"Clarify outcomes, acceptance criteria, KPIs, and constraints for Time tracking & billable hours integration. Produce a one-page spec and checklist.",4,Medium-Hard,5,Critical,Not Started,,Needed for firms billing hourly
Phase 2-TIME-02,Phase 2,Time tracking & billable hours integration,Design data model/schema for Time tracking & billable hours integration,Identify entities and relationships required for Time tracking & billable hours integration. Create tables/collections and ERD with indexes and audit fields.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-01,Needed for firms billing hourly
Phase 2-TIME-03,Phase 2,Time tracking & billable hours integration,Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to Time tracking & billable hours integration. Store API keys and secrets in secure vault.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-02,Needed for firms billing hourly
Phase 2-TIME-04,Phase 2,Time tracking & billable hours integration,Build core API endpoints for Time tracking & billable hours integration,"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-03,Needed for firms billing hourly
Phase 2-TIME-05,Phase 2,Time tracking & billable hours integration,Implement RBAC/permissions for Time tracking & billable hours integration,Define roles and scopes; enforce access control at API and UI layers for Time tracking & billable hours integration.,5,Hard,5,Critical,Not Started,Phase 2-TIME-04,Needed for firms billing hourly
Phase 2-TIME-06,Phase 2,Time tracking & billable hours integration,Create primary UI workflows for Time tracking & billable hours integration,Design and build pages/forms to complete the core flows for Time tracking & billable hours integration. Add real-time validation and empty states.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-05,Needed for firms billing hourly
Phase 2-TIME-07,Phase 2,Time tracking & billable hours integration,Add webhooks/event handling for Time tracking & billable hours integration,"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-06,Needed for firms billing hourly
Phase 2-TIME-08,Phase 2,Time tracking & billable hours integration,Input validation & error UX for Time tracking & billable hours integration,Centralize server- and client-side validation. Provide helpful error messages and logging for Time tracking & billable hours integration.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-07,Needed for firms billing hourly
Phase 2-TIME-09,Phase 2,Time tracking & billable hours integration,Observability for Time tracking & billable hours integration,"Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Time tracking & billable hours integration.",4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-08,Needed for firms billing hourly
Phase 2-TIME-10,Phase 2,Time tracking & billable hours integration,Unit & integration tests for Time tracking & billable hours integration,Write tests covering happy paths and edge cases for Time tracking & billable hours integration. Target 80% coverage where practical.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-09,Needed for firms billing hourly
Phase 2-TIME-11,Phase 2,Time tracking & billable hours integration,Security review for Time tracking & billable hours integration,"Threat model Time tracking & billable hours integration, encrypt data at rest/in transit, verify least-privilege, secrets rotation, and audit trails.",5,Hard,5,Critical,Not Started,Phase 2-TIME-10,Needed for firms billing hourly
Phase 2-TIME-12,Phase 2,Time tracking & billable hours integration,Performance & load testing for Time tracking & billable hours integration,"Benchmark key paths for Time tracking & billable hours integration; tune queries, caching, and backpressure. Document SLOs.",4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-11,Needed for firms billing hourly
Phase 2-TIME-13,Phase 2,Time tracking & billable hours integration,Backups & disaster recovery for Time tracking & billable hours integration,Define RPO/RTO; test backup and restore for data involved in Time tracking & billable hours integration.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-12,Needed for firms billing hourly
Phase 2-TIME-14,Phase 2,Time tracking & billable hours integration,Admin controls & settings for Time tracking & billable hours integration,Add admin toggles and configuration for Time tracking & billable hours integration. Include feature flags and rollout controls.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-13,Needed for firms billing hourly
Phase 2-TIME-15,Phase 2,Time tracking & billable hours integration,Documentation & SOPs for Time tracking & billable hours integration,Write internal docs and step-by-step SOPs so team can operate Time tracking & billable hours integration confidently.,4,Medium-Hard,5,Critical,Not Started,Phase 2-TIME-14,Needed for firms billing hourly
Phase 2-PPIAGP-01,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Define goals & success metrics for Payroll provider integration (ADP, Gusto, Paychex)","Clarify outcomes, acceptance criteria, KPIs, and constraints for Payroll provider integration (ADP, Gusto, Paychex). Produce a one-page spec and checklist.",4,Medium-Hard,5,Critical,Not Started,,Expands scope of CRM
Phase 2-PPIAGP-02,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Design data model/schema for Payroll provider integration (ADP, Gusto, Paychex)","Identify entities and relationships required for Payroll provider integration (ADP, Gusto, Paychex). Create tables/collections and ERD with indexes and audit fields.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-01,Expands scope of CRM
Phase 2-PPIAGP-03,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)",Set up provider accounts & credentials (if needed),"Create sandbox/production accounts for vendors relevant to Payroll provider integration (ADP, Gusto, Paychex). Store API keys and secrets in secure vault.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-02,Expands scope of CRM
Phase 2-PPIAGP-04,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Build core API endpoints for Payroll provider integration (ADP, Gusto, Paychex)","Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-03,Expands scope of CRM
Phase 2-PPIAGP-05,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Implement RBAC/permissions for Payroll provider integration (ADP, Gusto, Paychex)","Define roles and scopes; enforce access control at API and UI layers for Payroll provider integration (ADP, Gusto, Paychex).",5,Hard,5,Critical,Not Started,Phase 2-PPIAGP-04,Expands scope of CRM
Phase 2-PPIAGP-06,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Create primary UI workflows for Payroll provider integration (ADP, Gusto, Paychex)","Design and build pages/forms to complete the core flows for Payroll provider integration (ADP, Gusto, Paychex). Add real-time validation and empty states.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-05,Expands scope of CRM
Phase 2-PPIAGP-07,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Add webhooks/event handling for Payroll provider integration (ADP, Gusto, Paychex)","Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-06,Expands scope of CRM
Phase 2-PPIAGP-08,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Input validation & error UX for Payroll provider integration (ADP, Gusto, Paychex)","Centralize server- and client-side validation. Provide helpful error messages and logging for Payroll provider integration (ADP, Gusto, Paychex).",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-07,Expands scope of CRM
Phase 2-PPIAGP-09,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Observability for Payroll provider integration (ADP, Gusto, Paychex)","Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Payroll provider integration (ADP, Gusto, Paychex).",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-08,Expands scope of CRM
Phase 2-PPIAGP-10,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Unit & integration tests for Payroll provider integration (ADP, Gusto, Paychex)","Write tests covering happy paths and edge cases for Payroll provider integration (ADP, Gusto, Paychex). Target 80% coverage where practical.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-09,Expands scope of CRM
Phase 2-PPIAGP-11,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Security review for Payroll provider integration (ADP, Gusto, Paychex)","Threat model Payroll provider integration (ADP, Gusto, Paychex), encrypt data at rest/in transit, verify least-privilege, secrets rotation, and audit trails.",5,Hard,5,Critical,Not Started,Phase 2-PPIAGP-10,Expands scope of CRM
Phase 2-PPIAGP-12,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Performance & load testing for Payroll provider integration (ADP, Gusto, Paychex)","Benchmark key paths for Payroll provider integration (ADP, Gusto, Paychex); tune queries, caching, and backpressure. Document SLOs.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-11,Expands scope of CRM
Phase 2-PPIAGP-13,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Backups & disaster recovery for Payroll provider integration (ADP, Gusto, Paychex)","Define RPO/RTO; test backup and restore for data involved in Payroll provider integration (ADP, Gusto, Paychex).",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-12,Expands scope of CRM
Phase 2-PPIAGP-14,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Admin controls & settings for Payroll provider integration (ADP, Gusto, Paychex)","Add admin toggles and configuration for Payroll provider integration (ADP, Gusto, Paychex). Include feature flags and rollout controls.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-13,Expands scope of CRM
Phase 2-PPIAGP-15,Phase 2,"Payroll provider integration (ADP, Gusto, Paychex)","Documentation & SOPs for Payroll provider integration (ADP, Gusto, Paychex)","Write internal docs and step-by-step SOPs so team can operate Payroll provider integration (ADP, Gusto, Paychex) confidently.",4,Medium-Hard,5,Critical,Not Started,Phase 2-PPIAGP-14,Expands scope of CRM
Phase 2-ALSCA-01,Phase 2,Audit logs (staff + client actions),Define goals & success metrics for Audit logs (staff + client actions),"Clarify outcomes, acceptance criteria, KPIs, and constraints for Audit logs (staff + client actions). Produce a one-page spec and checklist.",3,Medium,4,Very High,Not Started,,IRS 4557 requirement
Phase 2-ALSCA-02,Phase 2,Audit logs (staff + client actions),Design data model/schema for Audit logs (staff + client actions),Identify entities and relationships required for Audit logs (staff + client actions). Create tables/collections and ERD with indexes and audit fields.,3,Medium,4,Very High,Not Started,Phase 2-ALSCA-01,IRS 4557 requirement
Phase 2-ALSCA-03,Phase 2,Audit logs (staff + client actions),Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to Audit logs (staff + client actions). Store API keys and secrets in secure vault.,4,Medium-Hard,5,Critical,Not Started,Phase 2-ALSCA-02,IRS 4557 requirement
Phase 2-ALSCA-04,Phase 2,Audit logs (staff + client actions),Build core API endpoints for Audit logs (staff + client actions),"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,Phase 2-ALSCA-03,IRS 4557 requirement
Phase 2-ALSCA-05,Phase 2,Audit logs (staff + client actions),Implement RBAC/permissions for Audit logs (staff + client actions),Define roles and scopes; enforce access control at API and UI layers for Audit logs (staff + client actions).,5,Hard,5,Critical,Not Started,Phase 2-ALSCA-04,IRS 4557 requirement
Phase 2-ALSCA-06,Phase 2,Audit logs (staff + client actions),Create primary UI workflows for Audit logs (staff + client actions),Design and build pages/forms to complete the core flows for Audit logs (staff + client actions). Add real-time validation and empty states.,2,Low-Medium,4,Very High,Not Started,Phase 2-ALSCA-05,IRS 4557 requirement
Phase 2-ALSCA-07,Phase 2,Audit logs (staff + client actions),Add webhooks/event handling for Audit logs (staff + client actions),"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,Phase 2-ALSCA-06,IRS 4557 requirement
Phase 2-ALSCA-08,Phase 2,Audit logs (staff + client actions),Input validation & error UX for Audit logs (staff + client actions),Centralize server- and client-side validation. Provide helpful error messages and logging for Audit logs (staff + client actions).,2,Low-Medium,4,Very High,Not Started,Phase 2-ALSCA-07,IRS 4557 requirement
Phase 2-ALSCA-09,Phase 2,Audit logs (staff + client actions),Observability for Audit logs (staff + client actions),"Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Audit logs (staff + client actions).",2,Low-Medium,4,Very High,Not Started,Phase 2-ALSCA-08,IRS 4557 requirement
Phase 2-ALSCA-10,Phase 2,Audit logs (staff + client actions),Unit & integration tests for Audit logs (staff + client actions),Write tests covering happy paths and edge cases for Audit logs (staff + client actions). Target 80% coverage where practical.,4,Medium-Hard,5,Critical,Not Started,Phase 2-ALSCA-09,IRS 4557 requirement
Phase 2-ALSCA-11,Phase 2,Audit logs (staff + client actions),Security review for Audit logs (staff + client actions),"Threat model Audit logs (staff + client actions), encrypt data at rest/in transit, verify least-privilege, secrets rotation, and audit trails.",5,Hard,5,Critical,Not Started,Phase 2-ALSCA-10,IRS 4557 requirement
Phase 2-ALSCA-12,Phase 2,Audit logs (staff + client actions),Performance & load testing for Audit logs (staff + client actions),"Benchmark key paths for Audit logs (staff + client actions); tune queries, caching, and backpressure. Document SLOs.",4,Medium-Hard,4,Very High,Not Started,Phase 2-ALSCA-11,IRS 4557 requirement
Phase 2-ALSCA-13,Phase 2,Audit logs (staff + client actions),Backups & disaster recovery for Audit logs (staff + client actions),Define RPO/RTO; test backup and restore for data involved in Audit logs (staff + client actions).,3,Medium,4,Very High,Not Started,Phase 2-ALSCA-12,IRS 4557 requirement
Phase 2-ALSCA-14,Phase 2,Audit logs (staff + client actions),Admin controls & settings for Audit logs (staff + client actions),Add admin toggles and configuration for Audit logs (staff + client actions). Include feature flags and rollout controls.,3,Medium,4,Very High,Not Started,Phase 2-ALSCA-13,IRS 4557 requirement
Phase 2-ALSCA-15,Phase 2,Audit logs (staff + client actions),Documentation & SOPs for Audit logs (staff + client actions),Write internal docs and step-by-step SOPs so team can operate Audit logs (staff + client actions) confidently.,1,Easy,3,High,Not Started,Phase 2-ALSCA-14,IRS 4557 requirement
Phase 2-FKD-01,Phase 2,Firm KPI dashboard,Define goals & success metrics for Firm KPI dashboard,"Clarify outcomes, acceptance criteria, KPIs, and constraints for Firm KPI dashboard. Produce a one-page spec and checklist.",2,Low-Medium,4,Very High,Not Started,,Partner-level insight tool
Phase 2-FKD-02,Phase 2,Firm KPI dashboard,Design data model/schema for Firm KPI dashboard,Identify entities and relationships required for Firm KPI dashboard. Create tables/collections and ERD with indexes and audit fields.,3,Medium,4,Very High,Not Started,Phase 2-FKD-01,Partner-level insight tool
Phase 2-FKD-03,Phase 2,Firm KPI dashboard,Set up provider accounts & credentials (if needed),Create sandbox/production accounts for vendors relevant to Firm KPI dashboard. Store API keys and secrets in secure vault.,4,Medium-Hard,5,Critical,Not Started,Phase 2-FKD-02,Partner-level insight tool
Phase 2-FKD-04,Phase 2,Firm KPI dashboard,Build core API endpoints for Firm KPI dashboard,"Implement REST/GraphQL endpoints with validation, pagination, and error handling. Include unit tests.",4,Medium-Hard,5,Critical,Not Started,Phase 2-FKD-03,Partner-level insight tool
Phase 2-FKD-05,Phase 2,Firm KPI dashboard,Implement RBAC/permissions for Firm KPI dashboard,Define roles and scopes; enforce access control at API and UI layers for Firm KPI dashboard.,5,Hard,5,Critical,Not Started,Phase 2-FKD-04,Partner-level insight tool
Phase 2-FKD-06,Phase 2,Firm KPI dashboard,Create primary UI workflows for Firm KPI dashboard,Design and build pages/forms to complete the core flows for Firm KPI dashboard. Add real-time validation and empty states.,2,Low-Medium,4,Very High,Not Started,Phase 2-FKD-05,Partner-level insight tool
Phase 2-FKD-07,Phase 2,Firm KPI dashboard,Add webhooks/event handling for Firm KPI dashboard,"Process incoming vendor or internal events; ensure idempotency, retries, and dead-letter handling.",4,Medium-Hard,5,Critical,Not Started,Phase 2-FKD-06,Partner-level insight tool
Phase 2-FKD-08,Phase 2,Firm KPI dashboard,Input validation & error UX for Firm KPI dashboard,Centralize server- and client-side validation. Provide helpful error messages and logging for Firm KPI dashboard.,2,Low-Medium,4,Very High,Not Started,Phase 2-FKD-07,Partner-level insight tool
Phase 2-FKD-09,Phase 2,Firm KPI dashboard,Observability for Firm KPI dashboard,"Add structured logs, metrics, tracing, and dashboards (errors, latency, throughput) for Firm KPI dashboard.",2,Low-Medium,4,Very High,Not Started,Phase 2-FKD-08,Partner-level insight tool
Phase 2-FKD-10,Phase 2,Firm KPI dashboard,Unit & integration tests for Firm KPI dashboard,Write tests covering happy paths and edge cases for Firm KPI dashboard. Target 80% coverage where practical.,4,Medium-Hard,5,Critical,Not Started,Phase 2-FKD-09,Partner-level insight tool
Phase 2-FKD-11,Phase 2,Firm KPI dashboard,Security review for Firm KPI dashboard,"Threat model Firm KPI dashboard, encrypt data at rest/in transit, verify least-privilege, secrets rotation, and audit trails.",5,Hard,5,Critical,Not Started,Phase 2-FKD-10,Partner-level insight tool
Phase 2-FKD-12,Phase 2,Firm KPI dashboard,Performance & load testing for Firm KPI dashboard,"Benchmark key paths for Firm KPI dashboard; tune queries, caching, and backpressure. Document SLOs.",4,Medium-Hard,4,Very High,Not Started,Phase 2-FKD-11,Partner-level insight tool
Phase 2-FKD-13,Phase 2,Firm KPI dashboard,Backups & disaster recovery for Firm KPI dashboard,Define RPO/RTO; test backup and restore for data involved in Firm KPI dashboard.,2,Low-Medium,4,Very High,Not Started,Phase 2-FKD-12,Partner-level insight tool
Phase 2-FKD-14,Phase 2,Firm KPI dashboard,Admin controls & settings for Firm KPI dashboard,Add admin toggles and configuration for Firm KPI dashboard. Include feature flags and rollout controls.,2,Low-Medium,4,Very High,Not Started,Phase 2-FKD-13,Partner-level insight tool
